,index,amount,unit,reference product,name,location,database,EF v3.1 | acidification | accumulated exceedance (AE),EF v3.1 | climate change | global warming potential (GWP100),EF v3.1 | ecotoxicity: freshwater | comparative toxic unit for ecosystems (CTUe),EF v3.1 | energy resources: non-renewable | abiotic depletion potential (ADP): fossil fuels,EF v3.1 | eutrophication: freshwater | fraction of nutrients reaching freshwater end compartment (P),EF v3.1 | eutrophication: marine | fraction of nutrients reaching marine end compartment (N),EF v3.1 | eutrophication: terrestrial | accumulated exceedance (AE),EF v3.1 | human toxicity: carcinogenic | comparative toxic unit for human (CTUh),EF v3.1 | human toxicity: non-carcinogenic | comparative toxic unit for human (CTUh),EF v3.1 | ionising radiation: human health | human exposure efficiency relative to u235,EF v3.1 | land use | soil quality index,EF v3.1 | material resources: metals/minerals | abiotic depletion potential (ADP): elements (ultimate reserves),EF v3.1 | ozone depletion | ozone depletion potential (ODP),EF v3.1 | particulate matter formation | impact on human health,EF v3.1 | photochemical oxidant formation: human health | tropospheric ozone concentration increase,EF v3.1 | water use | user deprivation potential (deprivation-weighted water consumption)
0,"transport, freight, lorry | transport, freight, lorry, battery electric, NMC-622 battery, 18t gross weight, long haul | EUR | ton-kilometer | remind - SSP2-PkBudg1150 - 2030",10000.0,ton-kilometer,"transport, freight, lorry","transport, freight, lorry, battery electric, NMC-622 battery, 18t gross weight, long haul",EUR,remind - SSP2-PkBudg1150 - 2030,10.013841772386757,919.6947081581881,19616.402354869653,19352.554557272804,0.6489908476917152,1.3937934046655291,15.016929053822862,4.343591793257932e-06,0.00010810620190770351,262.67317472444927,28936.397415087922,0.14745701409393852,5.4959527082136854e-05,0.0005356028675977714,5.830865955072892,1059.9416702435524
1,"transport, freight, lorry | transport, freight, lorry, battery electric, NMC-622 battery, 18t gross weight, regional delivery | EUR | ton-kilometer | remind - SSP2-PkBudg1150 - 2030",10000.0,ton-kilometer,"transport, freight, lorry","transport, freight, lorry, battery electric, NMC-622 battery, 18t gross weight, regional delivery",EUR,remind - SSP2-PkBudg1150 - 2030,13.187307715973104,1333.975240308753,26652.884256561447,29079.291648964572,0.853818211165664,2.0024421446158978,21.260138392557078,5.709781387826467e-06,0.00014140142948081258,453.49016399998646,44018.04820883688,0.19286252958674208,7.727069391072685e-05,0.0007115304866209448,8.479868232222728,1343.0823393363182
2,"transport, freight, lorry, EURO-VI | transport, freight, lorry, compressed gas, 18t gross weight, EURO-VI, long haul | EUR | ton-kilometer | remind - SSP2-PkBudg1150 - 2030",10000.0,ton-kilometer,"transport, freight, lorry, EURO-VI","transport, freight, lorry, compressed gas, 18t gross weight, EURO-VI, long haul",EUR,remind - SSP2-PkBudg1150 - 2030,3.875539406984493,1011.0120462463893,6869.882515106487,16744.205047794134,0.16956743826063006,0.7662960196795842,8.811895559111914,1.3396308905320797e-06,3.640719045081845e-05,41.17488156507589,19788.77279794442,0.03554857687944902,2.9006701616684547e-05,0.00028618811864983317,4.133164617189378,204.94903920059951
3,"transport, freight, lorry, EURO-VI | transport, freight, lorry, compressed gas, 18t gross weight, EURO-VI, regional delivery | EUR | ton-kilometer | remind - SSP2-PkBudg1150 - 2030",10000.0,ton-kilometer,"transport, freight, lorry, EURO-VI","transport, freight, lorry, compressed gas, 18t gross weight, EURO-VI, regional delivery",EUR,remind - SSP2-PkBudg1150 - 2030,8.441885242970159,2153.247236658441,14675.98435435235,34972.087340982274,0.3780842922485351,1.58425021220616,18.72893685118998,2.8855430890002334e-06,8.081079902215052e-05,88.90704569558622,35635.543356241156,0.0821503565716048,6.212960155310074e-05,0.0005695136470092759,8.359890987943013,444.0677948395651
4,"transport, freight, lorry, EURO-VI | transport, freight, lorry, diesel, 18t gross weight, EURO-VI, long haul | EUR | ton-kilometer | remind - SSP2-PkBudg1150 - 2030",10000.0,ton-kilometer,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel, 18t gross weight, EURO-VI, long haul",EUR,remind - SSP2-PkBudg1150 - 2030,4.917350248261029,1041.3371450401228,12264.277382291666,15300.771003493579,0.1629105677662209,1.5304045415912473,12.705301020311424,1.234748367350623e-06,3.720365884579515e-05,33.10136893733464,26871.40693623096,0.037359553248975164,3.2987623135599904e-05,0.00028724328538395926,4.814153045186755,523.9260377986918
5,"transport, freight, lorry, EURO-VI | transport, freight, lorry, diesel, 18t gross weight, EURO-VI, regional delivery | EUR | ton-kilometer | remind - SSP2-PkBudg1150 - 2030",10000.0,ton-kilometer,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel, 18t gross weight, EURO-VI, regional delivery",EUR,remind - SSP2-PkBudg1150 - 2030,10.990384704693213,2217.3664148475536,26430.379554533716,32038.384954664296,0.3642617380791434,3.4376593338550374,28.873281229306595,2.7622888077125914e-06,8.259251306402403e-05,71.78147737796522,51259.057836874024,0.08523916015587914,7.106836425296779e-05,0.0005733413641388832,10.362668952837378,1139.9094822351522
6,"transport, freight, lorry | transport, freight, lorry, fuel cell electric, 18t gross weight, long haul | EUR | ton-kilometer | remind - SSP2-PkBudg1150 - 2030",10000.0,ton-kilometer,"transport, freight, lorry","transport, freight, lorry, fuel cell electric, 18t gross weight, long haul",EUR,remind - SSP2-PkBudg1150 - 2030,14.569747879423673,856.1017459119921,12495.25428776515,19865.65653587573,0.3653711074380397,1.5878625784430667,20.422250374067517,2.1027890897740887e-06,4.347924834000872e-05,83.36512057195665,21786.25569011362,0.05463963517124203,0.0007933515311039022,0.00032713553195444305,7.047642209001705,391.0373085913618
7,"transport, freight, lorry | transport, freight, lorry, fuel cell electric, 18t gross weight, regional delivery | EUR | ton-kilometer | remind - SSP2-PkBudg1150 - 2030",10000.0,ton-kilometer,"transport, freight, lorry","transport, freight, lorry, fuel cell electric, 18t gross weight, regional delivery",EUR,remind - SSP2-PkBudg1150 - 2030,30.885988512026945,1722.3198858189028,25461.866030368743,39589.1102922262,0.768280090135257,3.22467828799407,41.91581788655164,4.370039328492176e-06,8.405309093178451e-05,169.6955921423736,38858.28473134626,0.11393065206500039,0.0017244745266082756,0.0005891175945954793,14.176117483229962,790.1330858860058
8,"transport, freight, lorry | transport, freight, lorry, battery electric, NMC-622 battery, 18t gross weight, long haul | EUR | ton-kilometer | remind - SSP2-PkBudg1150 - 2050",10000.0,ton-kilometer,"transport, freight, lorry","transport, freight, lorry, battery electric, NMC-622 battery, 18t gross weight, long haul",EUR,remind - SSP2-PkBudg1150 - 2050,5.504872238616808,405.46964892342817,12086.331971299245,8259.113848173942,0.33800823748279174,0.8077261180908935,8.64180392535055,2.4487045711891854e-06,7.682432468144828e-05,48.44458934812863,22794.414632570617,0.08748676363726118,3.33616458467717e-05,0.0004850996913854468,3.5261523413791513,529.4222897416294
9,"transport, freight, lorry | transport, freight, lorry, battery electric, NMC-622 battery, 18t gross weight, regional delivery | EUR | ton-kilometer | remind - SSP2-PkBudg1150 - 2050",10000.0,ton-kilometer,"transport, freight, lorry","transport, freight, lorry, battery electric, NMC-622 battery, 18t gross weight, regional delivery",EUR,remind - SSP2-PkBudg1150 - 2050,8.622162163107678,680.4093197739068,19387.391851962675,13208.322402718897,0.5513640076606559,1.3454872807567957,14.086405718534923,3.7377317330292333e-06,0.00011071083964601575,77.5242430108159,37477.00263901762,0.14533865205813093,5.385877108292506e-05,0.0006538575923151935,5.788620017519808,750.6987332475181
10,"transport, freight, lorry, EURO-VI | transport, freight, lorry, compressed gas, 18t gross weight, EURO-VI, long haul | EUR | ton-kilometer | remind - SSP2-PkBudg1150 - 2050",10000.0,ton-kilometer,"transport, freight, lorry, EURO-VI","transport, freight, lorry, compressed gas, 18t gross weight, EURO-VI, long haul",EUR,remind - SSP2-PkBudg1150 - 2050,3.6009062971407686,790.3697919489565,6849.898338200014,13445.639184013704,0.15782395066820326,0.6868502798105394,7.792950285650688,1.2219478002134335e-06,3.674482857000916e-05,21.115951437619398,19524.42174714238,0.04244716102372924,2.9367478080157065e-05,0.00028122845865999156,3.627897702721695,179.20310065455232
