,index,amount,unit,reference product,name,location,database,EF v3.1 | climate change | global warming potential (GWP100),EF v3.1 | acidification | accumulated exceedance (AE),EF v3.1 | photochemical oxidant formation: human health | tropospheric ozone concentration increase,EF v3.1 | particulate matter formation | impact on human health,EF v3.1 | energy resources: non-renewable | abiotic depletion potential (ADP): fossil fuels,EF v3.1 | material resources: metals/minerals | abiotic depletion potential (ADP): elements (ultimate reserves),EF v3.1 | land use | soil quality index,EF v3.1 | water use | user deprivation potential (deprivation-weighted water consumption)
0,"transport, freight, inland barge, Stage I standard, MGO | transport, freight, inland barge, Stage I standard, MGO | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, Stage I standard, MGO","transport, freight, inland barge, Stage I standard, MGO",ZH,mep_2020,614354.0488959912,1272.0566115037632,3992.5846370685545,0.011956137454706433,8122537.038280353,0.9378678788614243,1708688.7810884253,55398.32454882749
1,"transport, freight, inland barge, Stage V Mitsubishi, MGO | transport, freight, inland barge, Stage V Mitsubishi, MGO | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, MGO","transport, freight, inland barge, Stage V Mitsubishi, MGO",ZH,mep_2020,584260.0407749726,1248.3855718686916,1657.8477022124916,0.011826863047700614,7859625.054147933,0.9754863342848471,1673420.4324686672,65066.19770246445
2,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, grey | transport, freight, inland barge, Stage V Mitsubishi, hydrogen, grey | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, grey","transport, freight, inland barge, Stage V Mitsubishi, hydrogen, grey",ZH,mep_2020,1000819.6026272438,2311.219240734948,2272.0021377798926,0.014676087753221349,17272485.009244364,5.137231752442067,1644236.0718131838,155737.1759131549
3,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, blue | transport, freight, inland barge, Stage V Mitsubishi, hydrogen, blue | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, blue","transport, freight, inland barge, Stage V Mitsubishi, hydrogen, blue",ZH,mep_2020,680162.882950521,2370.813858355895,2290.776358560298,0.014917060210288477,17491752.426908482,5.1573222812102495,1670911.257925293,161352.10260750024
4,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, yellow | transport, freight, inland barge, Stage V Mitsubishi, hydrogen, yellow | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, yellow","transport, freight, inland barge, Stage V Mitsubishi, hydrogen, yellow",ZH,mep_2020,1532544.5321060703,7426.191044497529,3942.9305849949687,0.03705397110153813,32712156.910249405,16.294140597333715,3745085.4791211374,545748.694263548
5,"transport, freight, inland barge, HFC, grey | transport, freight, inland barge, HFC, grey | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, HFC, grey","transport, freight, inland barge, HFC, grey",ZH,mep_2020,769653.8804405847,2800.704603213165,2115.5165362574944,0.02112099199105739,12802017.337811565,9.574978386999174,1784745.5296565052,160595.2290987318
6,"transport, freight, inland barge, HFC, blue | transport, freight, inland barge, HFC, blue | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, HFC, blue","transport, freight, inland barge, HFC, blue",ZH,mep_2020,563576.2929250074,2839.0044867790502,2127.582231090931,0.021275858611847873,12942934.704204358,9.587890038140104,1801888.9658085809,164203.79388544252
7,"transport, freight, inland barge, HFC, yellow | transport, freight, inland barge, HFC, yellow | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, HFC, yellow","transport, freight, inland barge, HFC, yellow",ZH,mep_2020,1111379.4204491032,6087.961613115515,3189.3780279498865,0.03550266538550682,22724685.855717473,16.745228432607036,3134905.844487993,411245.3102383582
8,"transport, freight, inland barge, battery-electric | transport, freight, inland barge, battery-electric | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, battery-electric","transport, freight, inland barge, battery-electric",ZH,mep_2020,382957.52336452866,2004.2904241342505,1340.0228479865036,0.01323556706536789,7758430.814873608,6.737264078400997,1559384.5189076662,147058.38046772144
9,"transport, freight, inland barge, Stage I standard, MGO | transport, freight, inland barge, Stage I standard, MGO | ZH | ton kilometer | mep_2030",11689225.0,ton kilometer,"transport, freight, inland barge, Stage I standard, MGO","transport, freight, inland barge, Stage I standard, MGO",ZH,mep_2030,589458.823456892,1187.9395274785093,3932.687702609025,0.011259132824518094,7705245.220073602,1.0132572686577976,2213474.661398217,65375.70379096636
10,"transport, freight, inland barge, Stage V Mitsubishi, MGO | transport, freight, inland barge, Stage V Mitsubishi, MGO | ZH | ton kilometer | mep_2030",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, MGO","transport, freight, inland barge, Stage V Mitsubishi, MGO",ZH,mep_2030,559590.773281856,1162.7126140346722,1598.0005976932885,0.011120584741821917,7444444.31936188,1.050494876196452,2153406.1791902343,74332.49102733217
