,index,amount,unit,reference product,name,location,database,EF v3.1 | acidification | accumulated exceedance (AE),EF v3.1 | climate change | global warming potential (GWP100),EF v3.1 | ecotoxicity: freshwater | comparative toxic unit for ecosystems (CTUe),EF v3.1 | energy resources: non-renewable | abiotic depletion potential (ADP): fossil fuels,EF v3.1 | eutrophication: freshwater | fraction of nutrients reaching freshwater end compartment (P),EF v3.1 | eutrophication: marine | fraction of nutrients reaching marine end compartment (N),EF v3.1 | eutrophication: terrestrial | accumulated exceedance (AE),EF v3.1 | human toxicity: carcinogenic | comparative toxic unit for human (CTUh),EF v3.1 | human toxicity: non-carcinogenic | comparative toxic unit for human (CTUh),EF v3.1 | ionising radiation: human health | human exposure efficiency relative to u235,EF v3.1 | land use | soil quality index,EF v3.1 | material resources: metals/minerals | abiotic depletion potential (ADP): elements (ultimate reserves),EF v3.1 | ozone depletion | ozone depletion potential (ODP),EF v3.1 | particulate matter formation | impact on human health,EF v3.1 | photochemical oxidant formation: human health | tropospheric ozone concentration increase,EF v3.1 | water use | user deprivation potential (deprivation-weighted water consumption)
0,"transport, freight, inland barge, Stage I standard, MGO | transport, freight, inland barge, Stage I standard, MGO | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, Stage I standard, MGO","transport, freight, inland barge, Stage I standard, MGO",ZH,mep_2020,1272.0566115037632,614354.0488959912,3729801.7126319758,8122537.038280353,61.77331785625554,228.1824073338007,1946.651108102502,0.0042878410099785585,0.021472560521329585,24775.572828610864,1708688.7810884253,0.9378678788614243,0.012404010361129881,0.011956137454706433,3992.5846370685545,55398.32454882749
1,"transport, freight, inland barge, Stage V Mitsubishi, MGO | transport, freight, inland barge, Stage V Mitsubishi, MGO | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, MGO","transport, freight, inland barge, Stage V Mitsubishi, MGO",ZH,mep_2020,1248.3855718686916,584260.0407749726,3514487.2906437516,7859625.054147933,62.027687858038725,225.60308933915326,1939.3129708228491,0.0028878714863293997,0.004779924481065157,24797.87804426798,1673420.4324686672,0.9754863342848471,0.012001176232235967,0.011826863047700614,1657.8477022124916,65066.19770246445
2,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, grey | transport, freight, inland barge, Stage V Mitsubishi, hydrogen, grey | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, grey","transport, freight, inland barge, Stage V Mitsubishi, hydrogen, grey",ZH,mep_2020,2311.219240734948,1000819.6026272438,1774456.7853635217,17272485.009244364,364.41125743598747,457.7501929743928,4273.050518894672,0.0004677371113654259,0.00848882626203094,192048.9613283477,1644236.0718131838,5.137231752442067,0.03246042013649887,0.014676087753221349,2272.0021377798926,155737.1759131549
3,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, blue | transport, freight, inland barge, Stage V Mitsubishi, hydrogen, blue | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, blue","transport, freight, inland barge, Stage V Mitsubishi, hydrogen, blue",ZH,mep_2020,2370.813858355895,680162.882950521,1797304.1228555818,17491752.426908482,380.93929228432785,469.1565256805778,4359.465015497025,0.00047144651044729526,0.008629824006829115,202051.65345286255,1670911.257925293,5.1573222812102495,0.03227879081756889,0.014917060210288477,2290.776358560298,161352.10260750024
4,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, yellow | transport, freight, inland barge, Stage V Mitsubishi, hydrogen, yellow | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, yellow","transport, freight, inland barge, Stage V Mitsubishi, hydrogen, yellow",ZH,mep_2020,7426.191044497529,1532544.5321060703,4554355.164920393,32712156.910249405,1538.2060274268135,1330.0487391881993,11383.11020302542,0.0009165120309427878,0.028199908250044925,865091.5534203127,3745085.4791211374,16.294140597333715,0.027283515597992757,0.03705397110153813,3942.9305849949687,545748.694263548
5,"transport, freight, inland barge, HFC, grey | transport, freight, inland barge, HFC, grey | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, HFC, grey","transport, freight, inland barge, HFC, grey",ZH,mep_2020,3094.2976285775035,707424.3384600122,2089912.2379482328,12129723.648257816,293.1788876573175,439.0214655437218,4664.256660076963,0.0005185638343940689,0.008067816124834022,134924.53847224845,1657514.5388007567,7.907186630766353,0.10147494159809206,0.017343652943493687,2084.636130276877,150837.77222224293
6,"transport, freight, inland barge, HFC, blue | transport, freight, inland barge, HFC, blue | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, HFC, blue","transport, freight, inland barge, HFC, blue",ZH,mep_2020,3132.597512143389,501346.75094443397,2104595.6170967026,12270641.0146506,303.8010182378125,446.35201370394884,4719.792970072712,0.0005209477670142697,0.008158431643892662,141353.0039781616,1674657.9749528323,7.920098281907278,0.1013582132416587,0.017498519564284155,2096.7018251103095,154446.33700895353
7,"transport, freight, inland barge, HFC, yellow | transport, freight, inland barge, HFC, yellow | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, HFC, yellow","transport, freight, inland barge, HFC, yellow",ZH,mep_2020,6381.554638479853,1049149.8784685284,3876479.356127147,22052392.16616369,1047.5457217033422,999.6246557039597,9233.70385043879,0.0008069795983214202,0.020735606862252242,567471.2002524112,3007674.8536322424,15.077436676374223,0.09814788205862773,0.03172532633794314,3158.497621969268,401487.85336186836
8,"transport, freight, inland barge, battery-electric | transport, freight, inland barge, battery-electric | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, battery-electric","transport, freight, inland barge, battery-electric",ZH,mep_2020,2004.2904241342505,382957.52336452866,1507515.1840673317,7758430.814873608,363.56622173723076,354.59216061005634,3164.342154508202,0.0004145065063348149,0.008219660103997346,192220.78863232056,1559384.5189076662,6.737264078400997,0.006220108300544108,0.01323556706536789,1340.0228479865036,147058.38046772144
9,"transport, freight, inland barge, Stage I standard, MGO | transport, freight, inland barge, Stage I standard, MGO | ZH | ton kilometer | mep_2030",11689225.0,ton kilometer,"transport, freight, inland barge, Stage I standard, MGO","transport, freight, inland barge, Stage I standard, MGO",ZH,mep_2030,1187.9395274785095,589458.823456892,3749356.050007638,7705245.220073601,40.77379157662231,230.38437902857592,1866.963505130032,0.004288885549330532,0.021402996021931287,16126.316237589475,2213474.661398217,1.0132572686577974,0.012359993581561346,0.011259132824518094,3932.687702609025,65375.70379096636
10,"transport, freight, inland barge, Stage V Mitsubishi, MGO | transport, freight, inland barge, Stage V Mitsubishi, MGO | ZH | ton kilometer | mep_2030",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, MGO","transport, freight, inland barge, Stage V Mitsubishi, MGO",ZH,mep_2030,1162.7126140346722,559590.773281856,3531001.876763033,7444444.31936188,40.978995356638336,226.53076691535247,1853.4216102788946,0.0028887926202329703,0.004706189622305578,16127.8237400067,2153406.179190234,1.050494876196452,0.011957055782774142,0.011120584741821917,1598.0005976932885,74332.49102733216
