,index,amount,unit,reference product,name,location,database,EF v3.1 | acidification | accumulated exceedance (AE),EF v3.1 | climate change | global warming potential (GWP100),EF v3.1 | ecotoxicity: freshwater | comparative toxic unit for ecosystems (CTUe),EF v3.1 | energy resources: non-renewable | abiotic depletion potential (ADP): fossil fuels,EF v3.1 | eutrophication: freshwater | fraction of nutrients reaching freshwater end compartment (P),EF v3.1 | eutrophication: marine | fraction of nutrients reaching marine end compartment (N),EF v3.1 | eutrophication: terrestrial | accumulated exceedance (AE),EF v3.1 | human toxicity: carcinogenic | comparative toxic unit for human (CTUh),EF v3.1 | human toxicity: non-carcinogenic | comparative toxic unit for human (CTUh),EF v3.1 | ionising radiation: human health | human exposure efficiency relative to u235,EF v3.1 | land use | soil quality index,EF v3.1 | material resources: metals/minerals | abiotic depletion potential (ADP): elements (ultimate reserves),EF v3.1 | ozone depletion | ozone depletion potential (ODP),EF v3.1 | particulate matter formation | impact on human health,EF v3.1 | photochemical oxidant formation: human health | tropospheric ozone concentration increase,EF v3.1 | water use | user deprivation potential (deprivation-weighted water consumption)
0,"transport, freight, inland barge, Stage I standard, MGO | transport, freight, inland barge, Stage I standard, MGO | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, Stage I standard, MGO","transport, freight, inland barge, Stage I standard, MGO",ZH,mep_2020,1428.74497722763,619515.8819303524,4164470.3399052816,8026384.7337414995,63.80186864355601,370.7547677717818,2626.4107714928778,0.004298437368062064,0.021893926800252487,25036.754384207186,3498954.8961982788,0.9996187604739735,0.012740394249049531,0.013196682895417308,3998.084551406908,136167.41753759116
1,"transport, freight, inland barge, Stage V Mitsubishi, MGO | transport, freight, inland barge, Stage V Mitsubishi, MGO | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, MGO","transport, freight, inland barge, Stage V Mitsubishi, MGO",ZH,mep_2020,1396.9294894025527,589073.9867868508,3926680.6405297196,7767221.458368659,63.93631835693459,360.80537821533756,2584.09246409836,0.002898001734761182,0.005179625669566077,25039.977717829497,3372574.7045725975,1.0340266076123785,0.012317158627700605,0.013003970444876061,1662.9856601322938,141661.7351958282
2,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, grey | transport, freight, inland barge, Stage V Mitsubishi, hydrogen, grey | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, grey","transport, freight, inland barge, Stage V Mitsubishi, hydrogen, grey",ZH,mep_2020,2317.0480526740143,991264.4405905947,1787316.7606359567,17101354.210240666,362.7473173493135,462.90894682238,4330.883376581922,0.0004717486345638444,0.008528462917423624,191105.18080978873,1881439.3075226347,5.146106592341631,0.03211641974605463,0.01489812093593546,2267.389635329249,158033.6068879685
3,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, blue | transport, freight, inland barge, Stage V Mitsubishi, hydrogen, blue | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, blue","transport, freight, inland barge, Stage V Mitsubishi, hydrogen, blue",ZH,mep_2020,2376.9647328229403,670127.9007265865,1810541.1355213604,17311915.351672832,379.1948526771733,474.4972464358614,4420.029251943051,0.00047556342735949575,0.008671400474329112,201055.93685043373,1919059.6486279613,5.166725634716875,0.03191699981519902,0.015150863632076916,2285.992147087176,163701.29146290233
4,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, yellow | transport, freight, inland barge, Stage V Mitsubishi, hydrogen, yellow | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, yellow","transport, freight, inland barge, Stage V Mitsubishi, hydrogen, yellow",ZH,mep_2020,7452.054076854559,1490582.045155337,4592117.890792879,31953669.690420624,1530.9802978714702,1347.2370346119947,11623.298843987917,0.0009274495190460238,0.028368233547768303,860668.0887653877,4717218.916505113,16.338593819274934,0.025738009264611714,0.03806514567007664,3926.508168811044,551833.8848758788
5,"transport, freight, inland barge, HFC, grey | transport, freight, inland barge, HFC, grey | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, HFC, grey","transport, freight, inland barge, HFC, grey",ZH,mep_2020,3096.6337623785753,700434.6069446658,2097414.0369452965,12007024.197073465,291.96668254848987,442.0621049223927,4700.874737224229,0.0005217046062624707,0.008093013129971904,134309.16509116167,1817640.9748746469,7.912756213807698,0.10122000486290751,0.017493881390423155,2080.605592990868,152693.29365620995
6,"transport, freight, inland barge, HFC, blue | transport, freight, inland barge, HFC, blue | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, HFC, blue","transport, freight, inland barge, HFC, blue",ZH,mep_2020,3135.140627007769,494048.6516932196,2112339.728048123,12142346.270144653,302.53707821760224,449.5095983981611,4758.166432061949,0.0005241562726332618,0.008184875314934534,140704.2526504667,1841818.5724759528,7.926007526656701,0.10109184295102026,0.01765631243236584,2092.5609349798583,156335.76453653007
7,"transport, freight, inland barge, HFC, yellow | transport, freight, inland barge, HFC, yellow | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, HFC, yellow","transport, freight, inland barge, HFC, yellow",ZH,mep_2020,6396.766235535384,1021332.8168948538,3899985.493880417,21552214.287777014,1042.759101696462,1010.3963630900622,9387.517163428185,0.0008145715045376112,0.020843508652054855,564619.5259671625,3640121.480301593,15.105871543967364,0.09712076925192444,0.03238271506881533,3146.877165677737,405778.31034486205
8,"transport, freight, inland barge, battery-electric | transport, freight, inland barge, battery-electric | ZH | ton kilometer | mep_2020",11689225.0,ton kilometer,"transport, freight, inland barge, battery-electric","transport, freight, inland barge, battery-electric",ZH,mep_2020,2009.2101342057476,373482.8426484092,1516116.2762782536,7589689.876902448,361.9215899762866,358.3928169437153,3216.2393723430473,0.0004179141275555243,0.00825594225494339,191265.9076828361,1778608.167653999,6.745998339558994,0.005875613843645329,0.013449391977374155,1335.7376309753897,148470.60980596006
9,"transport, freight, inland barge, Stage I standard, MGO | transport, freight, inland barge, Stage I standard, MGO | ZH | ton kilometer | mep_2030",11689225.0,ton kilometer,"transport, freight, inland barge, Stage I standard, MGO","transport, freight, inland barge, Stage I standard, MGO",ZH,mep_2030,1591.6973741275551,577247.0491743003,5103856.6662615985,7075565.234360132,23.908346898481074,670.596889064198,3891.717635669196,0.004314559174185958,0.02262611021808304,16640.206701173116,8135323.225877171,1.2686166184016725,0.013180132473477187,0.014769535510260185,3895.3334291720626,322436.61819852696
10,"transport, freight, inland barge, Stage V Mitsubishi, MGO | transport, freight, inland barge, Stage V Mitsubishi, MGO | ZH | ton kilometer | mep_2030",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, MGO","transport, freight, inland barge, Stage V Mitsubishi, MGO",ZH,mep_2030,1541.1522003778477,546452.5382695473,4814002.4809311945,6830541.758572442,23.8311098181987,643.1818156163304,3767.3175369823766,0.002912961299176992,0.005860018601450155,16599.727375262337,7773919.111593052,1.2941746860027292,0.012716623399418425,0.0144309980005839,1560.2357956788367,317957.3746264848
